ProblemType	Class	model	Package	Order
Classification Only	Rule-Based Models	JRip	RWeka	121
Classification Only	Random Ferns	rFerns	rFerns	122
Classification Only	Random Forests	ORFridge	obliqueRF	123
Classification Only	Random Forests	ORFpls	obliqueRF	124
Classification Only	Random Forests	ORFsvm	obliqueRF	125
Classification Only	Random Forests	ORFlog	obliqueRF	126
Classification Only	Logic Forests	logforest	LogForest	127
Classification Only	Bayesian Multinomial Probit Model 	vbmpRadial	vbmp	128
Classification Only	Least Squares Support Vector Machines	lssvmRadial	kernlab	129
Classification Only	Nearest Shrunken Centroids	pam	pamr	130
Classification Only	Naive Bayes	nb	klaR	131
Classification Only	Generalized Partial Least Squares	gpls	gpls	132
Classification Only	Learned Vector  Quantization	lvq	class	133
Classification Only	ROC Curves	rocc	rocc	134
